,tmdb_id,budget,imdb_id,original_language,original_title,tmdb_popularity,runtime,tagline,title,tmdb_vote_count,tmdb_vote_average,cast1,cast1_popularity,cast2,cast2_popularity,cast3,cast3_popularity
133,951576.0,2.0,,es,El Chino,0.6,0.0,,El Chino,0.0,0.0,Luciano Lenti,0.6,Pedro Barrios,0.6,Mateo Porasso,0.6
134,126315.0,0.0,tt2368749,es,Después de Lucía,6.837,103.0,Basé sur des milliers d’histoires vraies... Peut-être la vôtre,Después de Lucía,98.0,6.6,Tessa Ía,4.903,Hernán Mendoza,2.219,Gonzalo Vega Sisto,0.652
135,73873.0,8000000.0,tt1602098,en,Albert Nobbs,13.39,117.0,Le Rêve Extraordinaire d'une Vie Ordinaire.,Albert Nobbs,374.0,6.3,Glenn Close,10.515,Mia Wasikowska,12.811,Aaron Taylor-Johnson,11.272
136,80038.0,0.0,tt1720616,en,Friends with Kids,10.322,106.0,,Friends with Kids,410.0,6.0,Adam Scott,29.443,Jennifer Westfeldt,5.215,Jon Hamm,17.906
137,89065.0,0.0,tt0424434,fa,شهر زیبا,2.56,101.0,,Les Enfants de Belle Ville,34.0,7.5,Tarane Alidousti,3.11,Babak Ansari,2.121,Faramarz Gharibian,5.271
138,795230.0,0.0,tt3986420,en,Trust,23.143,94.0,,Trust,141.0,6.8,Victoria Justice,13.996,Matthew Daddario,10.561,Katherine McNamara,32.526
139,85033.0,0.0,tt1550312,fr,Café de Flore,9.595,120.0,,Café De Flore,142.0,6.8,Vanessa Paradis,8.666,Kevin Parent,1.176,Hélène Florent,0.908
140,112377.0,0.0,tt1814672,fr,Dans la tourmente,1.27,109.0,,Dans la tourmente,11.0,4.4,Clovis Cornillac,4.123,Mathilde Seigner,4.147,Yvan Attal,9.308
141,73872.0,0.0,tt1641410,it,Terraferma,3.756,88.0,,Terraferma,78.0,6.8,Filippo Pucillo,0.796,Donatella Finocchiaro,3.138,Beppe Fiorello,0.606
142,501633.0,0.0,tt8633950,fr,Les Invisibles,6.501,101.0,,Les Invisibles,319.0,7.1,Audrey Lamy,6.049,Corinne Masiero,7.381,Déborah Lukumuena,0.699
